Gene,YoungVeh8,YoungVeh1,YoungVeh3,YoungVeh5,YoungVeh6,YoungVeh7,YoungVeh9,YoungVeh10,YoungVeh11,YoungVeh13,YoungVeh14,YoungVeh15,YoungVeh16,YoungVeh17,YoungVeh18,YoungVeh19,YoungVeh20,YoungVeh12,YoungVeh2,YoungVeh4,AgingVeh9,AgingVeh1,AgingVeh2,AgingVeh3,AgingVeh4,AgingVeh5,AgingVeh6,AgingVeh7,AgingVeh8,AgingIMP1,AgingIMP2,AgingIMP3,AgingIMP11,AgingIMP12,AgingIMP8,AgingIMP4,AgingIMP13,AgingIMP10,AgingIMP6,AgingIMP9,AgingIMP7,AgingIMP5
Sorbs3,0.642572871,-2.580559244,2.237679275,1.741102059,0.300191097,0.525178411,0.861760153,0.97665925,-0.079868409,0.852857777,-0.243018682,0.238084287,0.942083861,-0.338202164,-0.522416897,-0.3597612,-0.537531453,0.590222706,0.415397431,-0.481576874,-1.74021394,-0.414711639,0.519430834,0.40213379,-0.815618291,-0.828102599,-0.326587112,-0.495080309,-1.482104992,0.808233495,-2.580559244,-0.525129574,-1.244243704,-1.407866073,0.197229277,0.381608869,0.578952358,-0.395730395,-1.060021477,0.379398262,-0.733421187,-1.343413771
Fcn1,-1.397000522,-1.397000522,0.207668955,-0.743434952,0.70806533,-1.397000522,-0.458273575,-0.236936288,-0.463660484,-1.049463057,0.077142013,0.34618576,-0.014116523,0.389591312,-0.775118592,0.237947689,1.313252154,-1.091282703,-0.361567798,-0.304595856,-0.915117874,1.997518792,1.84149669,-1.397000522,1.511973046,0.766847273,0.829550885,1.092837105,0.681492789,0.651274388,-1.397000522,-1.397000522,-0.12057045,-0.680955435,0.621357654,-1.397000522,0.846245992,0.877524536,-1.397000522,1.273087366,2.116185917,2.536649192
Ptpn22,-1.375274011,-1.375274011,-0.925339162,0.608243726,0.049584948,0.124470537,-0.636719849,0.232627124,0.117786477,-0.633739585,-1.375274011,-0.857651571,0.82918521,-1.046170197,-0.120336027,-0.404012352,0.20501231,-0.551997667,-0.415095028,-0.80096167,-0.700758195,0.317291883,0.788776508,0.923296084,1.208741043,0.310935135,2.399830176,0.513684951,2.589137222,1.841653754,0.156323183,0.45924202,-0.351981195,-0.554598938,-0.484783817,0.182634491,7.015116095,-0.187676208,0.7791007,5.590791171,3.690950514,4.127010771
Exoc2,-1.183525279,-1.183525279,0.204839724,-1.183525279,-0.355719424,-1.183525279,-1.183525279,0.095883456,-0.145813595,-0.198618211,-0.368155809,0.232934248,0.328137755,-1.183525279,-1.183525279,-0.118083692,-0.042709963,-0.11494234,0.129176169,0.11892938,-0.89643477,0.031401615,0.070135596,0.390740396,1.305612163,1.564502501,1.832891688,2.442519488,1.77745058,0.997497974,-0.055181875,0.193985234,-1.183525279,-1.183525279,1.070188465,0.15427893,0.5850554,0.953070294,1.169664583,2.012584451,1.337184611,1.869176163
Csn2,-1.138045412,-1.138045412,-0.965480434,1.040700552,0.800522771,0.593611388,-1.085924989,0.908469707,0.768560102,-0.930398017,-1.078874308,-0.731629889,0.529425753,-1.077960576,0.181909145,-0.274070506,0.808591976,-1.066747163,-1.124664893,-1.128454569,-0.770645259,-0.238400849,1.173211889,0.830061986,1.621999714,-0.088584253,2.205423887,0.37473981,1.000697849,-0.491292789,-0.395083899,-1.138045412,0.623662221,0.499045062,-1.131899913,0.582732771,1.389213469,-0.956230693,0.731703402,2.049851588,1.56392657,2.255912518
Fga,0.560759944,-1.104133363,-1.049846288,0.642103693,0.584001015,0.514277802,-1.118752927,0.630483158,0.38645191,-1.016146735,-1.126123833,-0.847648969,0.316728697,-1.132486424,0.037835843,-0.370044956,0.653724229,-1.144535177,-1.144171919,-1.176276786,-0.898779326,-0.076045406,1.130166188,0.96747869,1.65309029,-0.087665942,2.303840283,0.374831375,1.536884934,0.700938465,0.563374565,0.771591321,0.558180185,0.328221407,-1.186012657,0.702542099,1.208500219,-1.019802556,0.342061465,2.495288606,2.068489575,3.134476167
Abcc12,0.892805824,-1.093446648,-0.967367189,0.545749461,0.549828231,0.642643699,-1.081109994,0.477204476,0.100383925,-1.027542612,-1.069780327,-0.763002067,-0.113502418,-1.065368037,-0.175774039,-0.322436484,0.427017563,-1.06831031,-1.093446648,-1.093446648,-1.024887946,0.19322827,1.066366491,0.706012618,2.104886183,0.023537019,2.101406595,0.344323218,1.784027793,0.559415144,0.57559306,1.64403576,0.87929896,0.094226066,-0.956278711,0.691025847,0.36761191,-1.000582089,-0.007620448,1.310767804,2.379679743,3.753994062
Fgb,0.575631279,-1.083183903,-1.037639085,0.694956011,0.635293645,0.551766333,-1.126820361,0.515968914,0.480171495,-1.010194397,-1.122540183,-0.837173537,0.134129774,-1.122073146,-0.006673408,-0.396865279,0.742685903,-1.126105964,-1.124869521,-1.154281396,-0.887289924,-0.086620978,0.969402892,0.945537946,1.756946118,-0.112872419,2.305839881,0.360846763,1.566026548,0.644624839,0.549272446,0.980571687,0.515766062,0.321159358,-1.157051401,0.656199338,1.033122299,-1.026186298,0.339010338,2.244578564,1.919561861,3.027647112
Fgg,0.611431193,-1.077839916,-1.032491528,0.629734103,0.677321669,0.631564394,-1.124271287,0.472329076,0.4064386,-1.008549857,-1.122337219,-0.819856372,0.001944288,-1.123352481,0.018416908,-0.351301875,0.732230399,-1.122191528,-1.128295365,-1.161164518,-0.872934811,-0.06760677,1.02507696,0.933562409,1.812102091,-0.120685209,2.306280662,0.355190452,1.519255531,0.363880674,0.554562221,1.006755747,0.553778856,0.397263352,-1.160671932,0.67468605,1.172195751,-1.018073227,0.341937315,1.766692572,1.898455221,3.078553649
Kctd8,0.729094147,-1.069385979,-1.040856604,0.370027617,0.513654229,0.708576059,-1.127334495,0.400804748,0.18536483,-1.007786577,-1.128002667,-0.788034783,0.02122013,-1.115891045,0.000702043,-0.295479627,0.944534065,-1.146114085,-1.133988203,-1.184438856,-0.87511252,0.062256305,1.118937808,1.201010158,1.796034694,-0.081370307,2.124324093,0.246919092,1.570335732,0.82582667,0.967678468,1.415711425,0.932972123,0.665744552,-1.174854386,0.904328873,0.920958782,-1.042559605,0.142759021,2.240384654,1.824000847,3.047679064
